rank,hkm_id,formula_id,length,formula,atom_ids,features,source_pattern_ids,train_dedup_support0_excluding_sources,train_dedup_support1_excluding_sources,train_dedup_precision0_excluding_sources,train_dedup_precision1_excluding_sources,train_dedup_recall0_excluding_sources,train_dedup_recall1_excluding_sources,train_precision0_recall0_mean,test_support0,test_support1,test_precision0,test_precision1,test_recall0,test_recall1
3508,len4__admissions__albumin__ast__neutrophils__combo75594__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_186259"", ""atom_95606"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_45365"", ""pattern_22158"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,7,0.9041095890410958,0.0958904109589041,0.33,0.0075675675675675675
3509,len4__admissions__albumin__ast__neutrophils__combo75654__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_18892"", ""atom_107494"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_4110"", ""pattern_25081"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3510,len4__admissions__albumin__ast__neutrophils__combo76044__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_18892"", ""atom_231205"", ""atom_118280""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_4110"", ""pattern_57400"", ""pattern_27842""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,4,0.9428571428571428,0.05714285714285714,0.33,0.004324324324324324
3511,len4__admissions__albumin__total_bilirubin__urea__combo57301__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_112885"", ""atom_240338"", ""atom_108421""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_26428"", ""pattern_59900"", ""pattern_25321""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3512,len4__admissions__albumin__total_bilirubin__urea__combo57303__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_112885"", ""atom_240338"", ""atom_111608""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_26428"", ""pattern_59900"", ""pattern_26105""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3513,len4__admissions__albumin__neutrophils__total_bilirubin__combo56960__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_112885"", ""atom_107910"", ""atom_240338""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_26428"", ""pattern_25190"", ""pattern_59900""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3514,len4__admissions__albumin__total_bilirubin__urea__combo57322__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_112885"", ""atom_240338"", ""atom_205480""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_26428"", ""pattern_59900"", ""pattern_50496""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3515,len4__admissions__albumin__total_bilirubin__urea__combo57329__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_112885"", ""atom_240338"", ""atom_266344""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_26428"", ""pattern_59900"", ""pattern_66964""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3516,len4__admissions__albumin__total_bilirubin__urea__combo70819__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_164092"", ""atom_240338"", ""atom_189919""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_39607"", ""pattern_59900"", ""pattern_46330""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,6,0.9166666666666666,0.08333333333333333,0.33,0.006486486486486486
3517,len4__admissions__albumin__total_bilirubin__urea__combo76200__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_18892"", ""atom_240338"", ""atom_107912""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_4110"", ""pattern_59900"", ""pattern_25190""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3518,len4__admissions__albumin__total_bilirubin__urea__combo76201__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_18892"", ""atom_240338"", ""atom_108421""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_4110"", ""pattern_59900"", ""pattern_25321""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3519,len4__admissions__albumin__total_bilirubin__urea__combo76212__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_18892"", ""atom_240338"", ""atom_154926""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_4110"", ""pattern_59900"", ""pattern_37208""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3520,len4__admissions__albumin__neutrophils__total_bilirubin__combo76190__tmpl15,len4_0016,4,(((x1 OR x2) AND NOT x3) OR x4),"[""atom_32"", ""atom_18892"", ""atom_113977"", ""atom_240338""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_4110"", ""pattern_26721"", ""pattern_59900""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
